Annotation	Gene	Input
Adrenergic signaling in cardiomyocytes	Mapk13	1
Adrenergic signaling in cardiomyocytes	Mapk14	1
Adrenergic signaling in cardiomyocytes	Mapk3	1
Adrenergic signaling in cardiomyocytes	Myh6	1
Adrenergic signaling in cardiomyocytes	Myh7	1
Adrenergic signaling in cardiomyocytes	Myl2	1
Adrenergic signaling in cardiomyocytes	Myl3	1
Adrenergic signaling in cardiomyocytes	Myl4	1
Adrenergic signaling in cardiomyocytes	Pik3cg	1
Adrenergic signaling in cardiomyocytes	Pik3r5	1
Adrenergic signaling in cardiomyocytes	Pik3r6	1
Adrenergic signaling in cardiomyocytes	Plcb1	1
Adrenergic signaling in cardiomyocytes	Plcb2	1
Adrenergic signaling in cardiomyocytes	Plcb3	1
Adrenergic signaling in cardiomyocytes	Plcb4	1
Adrenergic signaling in cardiomyocytes	Pln	1
Adrenergic signaling in cardiomyocytes	Ppp1ca	1
Adrenergic signaling in cardiomyocytes	Ppp1cb	1
Adrenergic signaling in cardiomyocytes	Ppp1cc	1
Adrenergic signaling in cardiomyocytes	Ppp1ccb	1
Adrenergic signaling in cardiomyocytes	Ppp1r1a	1
Adrenergic signaling in cardiomyocytes	Ppp2ca	1
Adrenergic signaling in cardiomyocytes	Ppp2cb	1
Adrenergic signaling in cardiomyocytes	Ppp2r1a	1
Adrenergic signaling in cardiomyocytes	Ppp2r1b	1
Adrenergic signaling in cardiomyocytes	Ppp2r2a	1
Adrenergic signaling in cardiomyocytes	Ppp2r2b	1
Adrenergic signaling in cardiomyocytes	Ppp2r2c	1
Adrenergic signaling in cardiomyocytes	Ppp2r2d	1
Adrenergic signaling in cardiomyocytes	Ppp2r3a	1
Adrenergic signaling in cardiomyocytes	Ppp2r3c	1
Adrenergic signaling in cardiomyocytes	Ppp2r3d	1
Adrenergic signaling in cardiomyocytes	Ppp2r5a	1
Adrenergic signaling in cardiomyocytes	Ppp2r5b	1
Adrenergic signaling in cardiomyocytes	Ppp2r5c	1
Adrenergic signaling in cardiomyocytes	Ppp2r5d	1
Adrenergic signaling in cardiomyocytes	Ppp2r5e	1
Adrenergic signaling in cardiomyocytes	Prkaca	1
Adrenergic signaling in cardiomyocytes	Prkacb	1
Adrenergic signaling in cardiomyocytes	Prkca	1
Adrenergic signaling in cardiomyocytes	Rapgef3	1
Adrenergic signaling in cardiomyocytes	Rapgef4	1
Adrenergic signaling in cardiomyocytes	Rps6ka5	1
Adrenergic signaling in cardiomyocytes	Ryr2	1
Adrenergic signaling in cardiomyocytes	Scn1b	1
Adrenergic signaling in cardiomyocytes	Scn4b	1
Adrenergic signaling in cardiomyocytes	Scn5a	1
Adrenergic signaling in cardiomyocytes	Scn7a	1
Adrenergic signaling in cardiomyocytes	Slc8a1	1
Adrenergic signaling in cardiomyocytes	Slc9a1	1
Adrenergic signaling in cardiomyocytes	Tnnc1	1
Adrenergic signaling in cardiomyocytes	Tnni3	1
Adrenergic signaling in cardiomyocytes	Tnnt2	1
Adrenergic signaling in cardiomyocytes	Tpm1	1
Adrenergic signaling in cardiomyocytes	Tpm2	1
Adrenergic signaling in cardiomyocytes	Tpm3	1
Adrenergic signaling in cardiomyocytes	Tpm4	1
"Alanine, aspartate and glutamate metabolism"	4930438A08Rik	1
"Alanine, aspartate and glutamate metabolism"	Abat	1
