TF	Target	Corr
Nkx6-1	Chgb	1
Nkx6-1	Kcnmb2	1
Nkx6-1	Pax6	1
Nkx6-1	Ddc	1
Nkx6-1	Prepl	1
Nkx6-1	Ins2	1
Nkx6-1	Gmppb	1
Nkx6-1	Magi2	1
Nkx6-1	Kif12	1
Nkx6-1	Cerkl	1
Nkx6-1	Ssbp3	1
Nkx6-1	Gnat2	1
Nkx6-1	Neurod1	1
Nkx6-1	Gng4	1
Nkx6-1	Stx18	1
Nkx6-1	0610009B22Rik	1
Nkx6-1	Nlk	1
Nkx6-1	Trabd	1
Nkx6-1	Dbx1	1
Nkx6-1	Slc2a2	1
Nkx6-1	Elavl2	1
Nkx6-1	Tmem215	1
Nkx6-1	Phyhipl	1
Nkx6-1	Pcsk1n	1
Nkx6-1	Sphkap	1
Nkx6-1	Pappa2	1
Nkx6-1	Mafa	1
Nkx6-1	Creb3l2	1
Nkx6-1	Rgs7bp	1
Nkx6-1	Gdap1l1	1
Nkx6-1	Phf21b	1
Nkx6-1	Ddx17	1
Nkx6-1	Slc38a4	1
Nkx6-1	Lrp11	1
Nkx6-1	Insrr	1
Nkx6-1	Yipf2	1
Nkx6-1	Rcan3	1
Nkx6-1	Klhl32	1
Nkx6-1	Runx1t1	1
Nkx6-1	Tle2	1
Nkx6-1	Insm1	1
Nkx6-1	Nkx2-2	1
Nkx6-1	5830403M04Rik	1
Npas4	Lonrf2	1
Npas4	Chd5	1
Npas4	Fkbp1b	1
Npas4	Ptprt	1
Npas4	Scn8a	1
Npas4	Vstm2l	1
Npas4	Pcsk2	1
Npas4	Tmem179	1
Npas4	Syt5	1
Npas4	Nlgn1	1
Npas4	Usp29	1
Npas4	Gjd2	1
Npas4	Trnp1	1
Npas4	Disp2	1
Npas4	Enc1	1
Npas4	Ephx4	1
Npas4	Rab39b	1
Npas4	Nmnat2	1
Npas4	Unc13a	1
Npas4	Tspan5	1
Npas4	Grin1	1
Npas4	Cxxc4	1
Npas4	Dlx1	1
Npas4	Amph	1
Npas4	B230217C12Rik	1
Npas4	Rgs17	1
Npas4	Lrfn2	1
Npas4	Mark1	1
Npas4	Syt4	1
Npas4	Ap3b2	1
Npas4	Gria2	1
Npas4	Cdk5r1	1
Npas4	Shisa9	1
Npas4	Tmem130	1
Npas4	Mapk8ip2	1
Npas4	Ypel4	1
Npas4	Cdh8	1
Npas4	Lrrn2	1
Npas4	Zcchc18	1
Npas4	Ctnna2	1
Npas4	Scg2	1
Npas4	Gnaz	1
Npas4	Gad2	1
Npas4	Hpca	1
Npas4	Pde10a	1
Npas4	Gap43	1
Npas4	Tmem59l	1
Npas4	Anks1b	1
Npas4	Pcdh8	1
Npas4	Plcxd3	1
Npas4	Gabrg2	1
