GeneName	0h	1h	4h	10h	20h	36h	48h	72h	168h	4w
Ecd	2.637721573	2.662784527	2.65393728	3.164646259	3.051888344	3.329340805	3.369063661	3.374117458	3.047218148	2.884966514
Ece1	4.688305065	4.880684698	4.089886382	4.014987525	5.163511807	5.099950081	5.04466888	5.222918717	5.177790042	5.103580247
Ece2	-0.493866467	-0.49416643	-0.493340834	0.468696631	0.227593421	0.228049674	-0.03549708	-0.173431779	-0.458715504	-0.373926821
Ecel1	-6.477688363		-6.626950809	-6.513331797						
Ech1	6.501433695	6.24994267	6.437413704	6.635674322	6.790935188	6.758013748	6.590046114	6.488070294	6.096669889	6.109358815
Echdc1	4.857529722	4.423288206	3.84598773	3.755925411	4.191470954	3.956908925	4.058798783	4.767999527	4.898487465	4.741161025
Echdc2	5.807216265	5.606138738	5.344417721	5.351431492	5.474125361	5.224530186	5.108793884	5.307022624	5.449232599	5.519683563
Echdc3	4.44139834	4.124903044	3.563515778	2.697947597	3.705071385	3.735888678	4.116991235	4.705099526	4.61283057	4.382765937
Echs1	5.024362433	4.919978527	4.631689134	4.246017437	4.73123199	4.799749015	4.896369519	5.238057385	5.14827468	5.061205135
Eci1	6.249607029	5.865989271	5.972892029	5.94757094	5.949839695	6.034555162	5.716036249	5.538824308	5.940122521	5.985106134
Eci2	5.334983284	5.939484101	6.561856902	6.705427704	6.076313241	6.619346271	5.51435243	5.228323334	4.995629669	5.211065919
Eci3	-1.620792283	-0.745515873	-0.4256382	0.136935398	-0.364291131	0.100337527	-0.522692407	-0.510905106	-0.87512675	-1.55104782
Ecm1	5.204971594	4.867623809	4.583802881	4.385922522	4.434320581	3.782883691	4.201084251	4.001576827	4.00224536	4.587835206
Ecm2	-2.469840693	-3.263521206	-3.741046717	-4.526886454	-3.736358532	-3.627786232	-3.704774322	-3.602547986	-3.001660228	-3.31157589
Ecscr	-0.241622371	-1.143777355	-0.015984871	-0.22221217	0.133660905	-0.189843349	0.279235209	0.087977526	0.075672827	-0.605041839
